Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3 method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred _TN_method,reported_TN_method,bias-TN-d,bias-TN-c,TN-d bias %,TN-c bias %,Flag TN-d,Flag TN-c
16,Fall - 2017,(high),136,0.41,0.409,0.66,0.639,colorimetric,1.07,1.06,0.41,0.66,1.07,1.07,0,c,other,NA,0.01,NA,0.94,,
16,Fall - 2017,(low),135,0.18,0.18,0.45,0.436,colorimetric,0.63,0.616,0.18,0.45,0.63,0.63,0,c,other,NA,0.014,NA,2.27,,
16,Fall - 2018,(high),140,0.47,0.486,0.66,0.663,colorimetric,1.13,1.14,0.47,0.66,1.13,1.13,0,c,other,NA,-0.01,NA,-0.88,,
16,Fall - 2018,(low),139,0.13,0.111,0.21,0.2,colorimetric,0.34,0.307,0.13,0.21,0.34,0.34,0,c,other,NA,0.033,NA,10.75,,
16,Spring - 2012,(high),114,1.02,1.03,1.09,1.13,colorimetric,2.11,2.15,1.02,1.09,2.11,2.11,0,c,other,NA,-0.04,NA,-1.86,,
16,Spring - 2012,(low),113,0.24,0.258,<0.10,0.107,colorimetric,0.24,0.349,0.24,NA,0.24,NA,NA,c,other,NA,-0.109,NA,-31.23,,A
16,Spring - 2013,(high),118,0.82,0.93,0.58,0.59,colorimetric,1.4,1.48,0.82,0.58,1.4,1.4,0,c,other,NA,-0.08,NA,-5.41,,
16,Spring - 2013,(low),117,0.37,0.44,0.22,0.22,colorimetric,0.59,0.641,0.37,0.22,0.59,0.59,0,c,other,NA,-0.051,NA,-7.96,,
16,Spring - 2014,(high),122,0.61,0.59,1.07,1.1,colorimetric,1.68,1.7,0.61,1.07,1.68,1.68,0,c,other,NA,-0.02,NA,-1.18,,
16,Spring - 2014,(low),121,0.21,0.139,0.41,0.418,colorimetric,0.62,0.555,0.21,0.41,0.62,0.62,0,c,other,NA,0.065,NA,11.71,,
16,Spring - 2015,(high),126,0.43,0.392,1.47,1.48,colorimetric,1.9,1.86,0.43,1.47,1.9,1.9,0,c,other,NA,0.04,NA,2.15,,
16,Spring - 2015,(low),125,0.21,0.162,0.31,0.307,colorimetric,0.52,0.464,0.21,0.31,0.52,0.52,0,c,other,NA,0.056,NA,12.07,,
16,Spring - 2016,(high),130,0.51,0.547,1.76,1.81,colorimetric,2.27,2.32,0.51,1.76,2.27,2.27,0,c,other,NA,-0.05,NA,-2.16,,
16,Spring - 2016,(low),129,0.25,0.24,0.26,0.267,colorimetric,0.51,0.48,0.25,0.26,0.51,0.51,0,c,other,NA,0.03,NA,6.25,,
16,Spring - 2017,(high),134,0.13,0.196,0.81,0.801,colorimetric,0.94,0.98,0.13,0.81,0.94,0.94,0,c,other,NA,-0.04,NA,-4.08,,
16,Spring - 2017,(low),133,0.19,0.134,0.09,0.09,colorimetric,0.28,0.199,0.19,0.09,0.28,0.28,0,c,other,NA,0.081,NA,40.7,,C
16,Spring - 2018,(high),138,0.48,0.495,0.68,0.79,colorimetric,1.16,1.27,0.48,0.68,1.16,1.16,0,c,other,NA,-0.11,NA,-8.66,,
16,Spring - 2018,(low),137,0.18,0.143,0.34,0.326,colorimetric,0.52,0.45,0.18,0.34,0.52,0.52,0,c,other,NA,0.07,NA,15.56,,
25,Fall - 2014,(high),124,NA,NA,NA,NA,NA,0.705,0.73,NA,NA,0.705,NA,NA,d,colorimetric,-0.025,NA,-3.42,NA,,
25,Fall - 2014,(low),123,NA,NA,NA,NA,NA,0.469,0.555,NA,NA,0.469,NA,NA,d,colorimetric,-0.086,NA,-15.5,NA,,
25,Fall - 2016,(high),132,NA,NA,NA,NA,NA,1.19,1.24,NA,NA,1.19,NA,NA,d,colorimetric,-0.05,NA,-4.03,NA,,
25,Fall - 2016,(low),131,NA,NA,NA,NA,NA,<1.0,0.491,NA,NA,NA,NA,NA,d,colorimetric,NA,NA,NA,NA,A,
25,Fall - 2017,(high),136,NA,NA,NA,NA,NA,1.49,1.06,NA,NA,1.49,NA,NA,d,colorimetric,0.43,NA,40.57,NA,,
25,Fall - 2017,(low),135,NA,NA,NA,NA,NA,0.836,0.616,NA,NA,0.836,NA,NA,d,colorimetric,0.22,NA,35.71,NA,,
25,Spring - 2015,(high),126,NA,NA,NA,NA,NA,1.92,1.86,NA,NA,1.92,NA,NA,d,colorimetric,0.06,NA,3.23,NA,,
25,Spring - 2015,(low),125,NA,NA,NA,NA,NA,0.55,0.464,NA,NA,0.55,NA,NA,d,colorimetric,0.086,NA,18.53,NA,,
31,Fall - 2012,(low),115,0.267,0.264,0.238,0.228,colorimetric,NA,0.463,0.267,0.238,NA,0.505,NA,c,NA,NA,0.042,NA,9.07,,
