,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
304,419,Fall - 2015,(low),127,NA,NA,0.289,0.302,NA,0.428,0.437,NA,0.289,0.428,NA,NA,d,colorimetric,-0.009,NA,-2.06,NA,,,0,0.428,-0.009,-0.009,d (low)
306,419,Fall - 2016,(low),131,NA,NA,0.342,0.362,NA,0.474,0.491,NA,0.342,0.474,NA,NA,d,colorimetric,-0.017,NA,-3.46,NA,,,0,0.474,-0.017,-0.017,d (low)
307,419,Fall - 2017,(high),136,NA,NA,0.631,0.639,NA,1.1,1.06,NA,0.631,1.1,NA,NA,d,colorimetric,0.04,NA,3.77,NA,,,0,1.1,0.04,0.04,d (high)
308,419,Fall - 2017,(low),135,NA,NA,0.42,0.436,NA,0.593,0.616,NA,0.42,0.593,NA,NA,d,colorimetric,-0.023,NA,-3.73,NA,,,0,0.593,-0.023,-0.023,d (low)
309,419,Fall - 2018,(high),140,NA,NA,0.665,0.663,NA,1.16,1.14,NA,0.665,1.16,NA,NA,d,colorimetric,0.02,NA,1.75,NA,,,0,1.16,0.02,0.02,d (high)
310,419,Fall - 2018,(low),139,NA,NA,0.185,0.2,NA,0.285,0.307,NA,0.185,0.285,NA,NA,d,colorimetric,-0.022,NA,-7.17,NA,,,0,0.285,-0.022,-0.022,d (low)
311,419,Spring - 2012,(high),114,NA,NA,1.09,1.13,NA,2.13,2.15,NA,1.09,2.13,NA,NA,d,colorimetric,-0.02,NA,-0.93,NA,,,0,2.13,-0.02,-0.02,d (high)
312,419,Spring - 2012,(low),113,NA,NA,0.103,0.107,NA,0.334,0.349,NA,0.103,0.334,NA,NA,d,colorimetric,-0.015,NA,-4.3,NA,,,0,0.334,-0.015,-0.015,d (low)
313,419,Spring - 2013,(high),118,NA,NA,0.58,0.59,NA,1.48,1.48,NA,0.58,1.48,NA,NA,d,colorimetric,0,NA,0,NA,,,0,1.48,0,0,d (high)
314,419,Spring - 2013,(low),117,NA,NA,0.214,0.22,NA,0.62,0.641,NA,0.214,0.62,NA,NA,d,colorimetric,-0.021,NA,-3.28,NA,,,0,0.62,-0.021,-0.021,d (low)
315,419,Spring - 2014,(high),122,NA,NA,1.07,1.1,NA,1.74,1.7,NA,1.07,1.74,NA,NA,d,colorimetric,0.04,NA,2.35,NA,,,0,1.74,0.04,0.04,d (high)
316,419,Spring - 2014,(low),121,NA,NA,0.404,0.418,NA,0.55,0.555,NA,0.404,0.55,NA,NA,d,colorimetric,-0.005,NA,-0.9,NA,,,0,0.55,-0.005,-0.005,d (low)
317,419,Spring - 2015,(high),126,NA,NA,1.44,1.48,NA,1.81,1.86,NA,1.44,1.81,NA,NA,d,colorimetric,-0.05,NA,-2.69,NA,,,0,1.81,-0.05,-0.05,d (high)
318,419,Spring - 2015,(low),125,NA,NA,0.296,0.307,NA,0.481,0.464,NA,0.296,0.481,NA,NA,d,colorimetric,0.017,NA,3.66,NA,,,0,0.481,0.017,0.017,d (low)
319,419,Spring - 2016,(high),130,NA,NA,1.79,1.81,NA,2.35,2.32,NA,1.79,2.35,NA,NA,d,colorimetric,0.03,NA,1.29,NA,,,0,2.35,0.03,0.03,d (high)
320,419,Spring - 2016,(low),129,NA,NA,0.256,0.267,NA,0.441,0.48,NA,0.256,0.441,NA,NA,d,colorimetric,-0.039,NA,-8.13,NA,,,0,0.441,-0.039,-0.039,d (low)
321,419,Spring - 2018,(high),138,NA,NA,0.767,0.79,NA,1.24,1.27,NA,0.767,1.24,NA,NA,d,colorimetric,-0.03,NA,-2.36,NA,,,0,1.24,-0.03,-0.03,d (high)
322,419,Spring - 2018,(low),137,NA,NA,0.318,0.326,NA,0.476,0.45,NA,0.318,0.476,NA,NA,d,colorimetric,0.026,NA,5.78,NA,,,0,0.476,0.026,0.026,d (low)
323,421,Spring - 2016,(low),129,NA,NA,0.267,0.267,NA,0.479,0.48,NA,0.267,0.479,NA,NA,d,colorimetric,-0.001,NA,-0.21,NA,,,0,0.479,-0.001,-0.001,d (low)
324,430,Fall - 2012,(low),115,NA,NA,0.251,0.228,NA,0.501,0.463,NA,0.251,0.501,NA,NA,d,colorimetric,0.038,NA,8.21,NA,,,0,0.501,0.038,0.038,d (low)
326,430,Spring - 2013,(low),117,NA,NA,0.217,0.22,NA,0.631,0.641,NA,0.217,0.631,NA,NA,d,colorimetric,-0.01,NA,-1.56,NA,,,0,0.631,-0.01,-0.01,d (low)
329,435,Fall - 2013,(low),119,NA,NA,0.261,0.271,NA,0.494,0.536,NA,0.261,0.494,NA,NA,d,colorimetric,-0.042,NA,-7.84,NA,,,0,0.494,-0.042,-0.042,d (low)
330,435,Fall - 2015,(low),127,NA,NA,0.3,0.302,NA,0.439,0.437,NA,0.3,0.439,NA,NA,d,colorimetric,0.002,NA,0.46,NA,,,0,0.439,0.002,0.002,d (low)
331,435,Fall - 2016,(low),131,NA,NA,0.352,0.362,NA,0.476,0.491,NA,0.352,0.476,NA,NA,d,colorimetric,-0.015,NA,-3.05,NA,,,0,0.476,-0.015,-0.015,d (low)
332,435,Fall - 2017,(low),135,NA,NA,0.44,0.436,NA,0.617,0.616,NA,0.44,0.617,NA,NA,d,colorimetric,0.001,NA,0.16,NA,,,0,0.617,0.001,0.001,d (low)
333,435,Fall - 2018,(low),139,NA,NA,0.197,0.2,NA,0.299,0.307,NA,0.197,0.299,NA,NA,d,colorimetric,-0.008,NA,-2.61,NA,,,0,0.299,-0.008,-0.008,d (low)
335,435,Spring - 2014,(low),121,NA,NA,0.404,0.418,NA,0.552,0.555,NA,0.404,0.552,NA,NA,d,colorimetric,-0.003,NA,-0.54,NA,,,0,0.552,-0.003,-0.003,d (low)
336,435,Spring - 2015,(low),125,NA,NA,0.318,0.307,NA,0.42,0.464,NA,0.318,0.42,NA,NA,d,colorimetric,-0.044,NA,-9.48,NA,,,0,0.42,-0.044,-0.044,d (low)
338,435,Spring - 2017,(low),133,NA,NA,0.09,0.09,NA,0.207,0.199,NA,0.09,0.207,NA,NA,d,colorimetric,0.008,NA,4.02,NA,,,0,0.207,0.008,0.008,d (low)
340,446,Fall - 2014,(high),124,NA,NA,0.573,0.556,NA,0.706,0.73,NA,0.573,0.706,NA,NA,d,colorimetric,-0.024,NA,-3.29,NA,,,0,0.706,-0.024,-0.024,d (high)
341,446,Fall - 2014,(low),123,NA,NA,0.26,0.257,NA,0.521,0.555,NA,0.26,0.521,NA,NA,d,colorimetric,-0.034,NA,-6.13,NA,,,0,0.521,-0.034,-0.034,d (low)
342,446,Fall - 2016,(high),132,NA,NA,0.922,0.933,NA,1.209,1.24,NA,0.922,1.209,NA,NA,d,colorimetric,-0.031,NA,-2.5,NA,,,0,1.209,-0.031,-0.031,d (high)
343,446,Fall - 2016,(low),131,NA,NA,0.357,0.362,NA,0.507,0.491,NA,0.357,0.507,NA,NA,d,colorimetric,0.016,NA,3.26,NA,,,0,0.507,0.016,0.016,d (low)
344,446,Fall - 2018,(high),140,NA,NA,0.695,0.663,NA,1.122,1.14,NA,0.695,1.122,NA,NA,d,colorimetric,-0.018,NA,-1.58,NA,,,0,1.122,-0.018,-0.018,d (high)
345,446,Fall - 2018,(low),139,NA,NA,0.216,0.2,NA,0.301,0.307,NA,0.216,0.301,NA,NA,d,colorimetric,-0.006,NA,-1.95,NA,,,0,0.301,-0.006,-0.006,d (low)
346,446,Spring - 2013,(high),118,NA,NA,0.602,0.59,NA,1.465,1.48,NA,0.602,1.465,NA,NA,d,colorimetric,-0.015,NA,-1.01,NA,,,0,1.465,-0.015,-0.015,d (high)
347,446,Spring - 2013,(low),117,NA,NA,0.189,0.22,NA,0.591,0.641,NA,0.189,0.591,NA,NA,d,colorimetric,-0.05,NA,-7.8,NA,,,0,0.591,-0.05,-0.05,d (low)
348,446,Spring - 2014,(low),121,NA,NA,NA,NA,NA,0.524,0.555,NA,NA,0.524,NA,NA,d,colorimetric,-0.031,NA,-5.59,NA,,,0,0.524,-0.031,-0.031,d (low)
349,446,Spring - 2015,(high),126,NA,NA,1.788,1.48,NA,1.913,1.86,NA,1.788,1.913,NA,NA,d,colorimetric,0.053,NA,2.85,NA,,,0,1.913,0.053,0.053,d (high)
350,446,Spring - 2015,(low),125,NA,NA,0.431,0.307,NA,0.47,0.464,NA,0.431,0.47,NA,NA,d,colorimetric,0.006,NA,1.29,NA,,,0,0.47,0.006,0.006,d (low)
352,446,Spring - 2016,(low),129,NA,NA,0.248,0.267,NA,0.535,0.48,NA,0.248,0.535,NA,NA,d,colorimetric,0.055,NA,11.46,NA,,,0,0.535,0.055,0.055,d (low)
353,447,Fall - 2013,(high),120,NA,NA,0.674,0.692,NA,1.213,1.21,NA,0.674,1.213,NA,NA,d,colorimetric,0.003,NA,0.25,NA,,,0,1.213,0.003,0.003,d (high)
354,447,Fall - 2013,(low),119,NA,NA,0.265,0.271,NA,0.589,0.536,NA,0.265,0.589,NA,NA,d,colorimetric,0.053,NA,9.89,NA,,,0,0.589,0.053,0.053,d (low)
355,447,Fall - 2015,(high),128,NA,NA,3.015,3.04,NA,3.56,3.53,NA,3.015,3.56,NA,NA,d,colorimetric,0.03,NA,0.85,NA,,,0,3.56,0.03,0.03,d (high)
356,447,Fall - 2015,(low),127,NA,NA,0.294,0.302,NA,0.412,0.437,NA,0.294,0.412,NA,NA,d,colorimetric,-0.025,NA,-5.72,NA,,,0,0.412,-0.025,-0.025,d (low)
358,447,Fall - 2016,(low),131,NA,NA,0.3582,0.362,NA,0.461,0.491,NA,0.3582,0.461,NA,NA,d,colorimetric,-0.03,NA,-6.11,NA,,,0,0.461,-0.03,-0.03,d (low)
361,447,Spring - 2013,(high),118,NA,NA,0.566,0.59,NA,1.512,1.48,NA,0.566,1.512,NA,NA,d,colorimetric,0.032,NA,2.16,NA,,,0,1.512,0.032,0.032,d (high)
362,447,Spring - 2013,(low),117,NA,NA,0.2075,0.22,NA,0.64,0.641,NA,0.2075,0.64,NA,NA,d,colorimetric,-0.001,NA,-0.16,NA,,,0,0.64,-0.001,-0.001,d (low)
363,447,Spring - 2018,(high),138,NA,NA,0.797,0.79,NA,1.3,1.27,NA,0.797,1.3,NA,NA,d,colorimetric,0.03,NA,2.36,NA,,,0,1.3,0.03,0.03,d (high)
364,447,Spring - 2018,(low),137,NA,NA,0.33,0.326,NA,0.499,0.45,NA,0.33,0.499,NA,NA,d,colorimetric,0.049,NA,10.89,NA,,,0,0.499,0.049,0.049,d (low)
365,454,Fall - 2016,(low),131,NA,NA,0.345,0.362,NA,0.496,0.491,NA,0.345,0.496,NA,NA,d,colorimetric,0.005,NA,1.02,NA,,,0,0.496,0.005,0.005,d (low)
366,454,Spring - 2012,(low),113,NA,NA,0.104,0.107,NA,0.326,0.349,NA,0.104,0.326,NA,NA,d,colorimetric,-0.023,NA,-6.59,NA,,,0,0.326,-0.023,-0.023,d (low)
367,454,Spring - 2013,(low),117,NA,NA,0.224,0.22,NA,0.662,0.641,NA,0.224,0.662,NA,NA,d,colorimetric,0.021,NA,3.28,NA,,,0,0.662,0.021,0.021,d (low)
368,454,Spring - 2014,(low),121,NA,NA,0.422,0.418,NA,0.552,0.555,NA,0.422,0.552,NA,NA,d,colorimetric,-0.003,NA,-0.54,NA,,,0,0.552,-0.003,-0.003,d (low)
369,454,Spring - 2015,(low),125,NA,NA,0.317,0.307,NA,0.43,0.464,NA,0.317,0.43,NA,NA,d,colorimetric,-0.034,NA,-7.33,NA,,,0,0.43,-0.034,-0.034,d (low)
370,454,Spring - 2016,(low),129,NA,NA,0.272,0.267,NA,0.494,0.48,NA,0.272,0.494,NA,NA,d,colorimetric,0.014,NA,2.92,NA,,,0,0.494,0.014,0.014,d (low)
371,537,Fall - 2012,(low),115,NA,NA,NA,NA,NA,0.463,0.463,NA,NA,0.463,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.463,0,0,d (low)
372,537,Fall - 2013,(low),119,NA,NA,0.271,0.271,NA,0.536,0.536,NA,0.271,0.536,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.536,0,0,d (low)
373,537,Fall - 2014,(low),123,NA,NA,0.245,0.257,NA,0.514,0.555,NA,0.245,0.514,NA,NA,d,colorimetric,-0.041,NA,-7.39,NA,,,0,0.514,-0.041,-0.041,d (low)
374,537,Fall - 2015,(low),127,NA,NA,0.3,0.302,NA,0.445,0.437,NA,0.3,0.445,NA,NA,d,colorimetric,0.008,NA,1.83,NA,,,0,0.445,0.008,0.008,d (low)
375,537,Fall - 2016,(low),131,NA,NA,0.376,0.362,NA,0.488,0.491,NA,0.376,0.488,NA,NA,d,colorimetric,-0.003,NA,-0.61,NA,,,0,0.488,-0.003,-0.003,d (low)
376,537,Fall - 2017,(low),135,NA,NA,0.424,0.436,NA,0.567,0.616,NA,0.424,0.567,NA,NA,d,colorimetric,-0.049,NA,-7.95,NA,,,0,0.567,-0.049,-0.049,d (low)
377,537,Fall - 2018,(high),140,NA,NA,0.673,0.663,NA,1.109,1.14,NA,0.673,1.109,NA,NA,d,colorimetric,-0.031,NA,-2.72,NA,,,0,1.109,-0.031,-0.031,d (high)
380,537,Spring - 2013,(low),117,NA,NA,0.215,0.22,NA,0.62,0.641,NA,0.215,0.62,NA,NA,d,colorimetric,-0.021,NA,-3.28,NA,,,0,0.62,-0.021,-0.021,d (low)
381,537,Spring - 2014,(low),121,NA,NA,0.418,0.418,NA,0.553,0.555,NA,0.418,0.553,NA,NA,d,colorimetric,-0.002,NA,-0.36,NA,,,0,0.553,-0.002,-0.002,d (low)
382,537,Spring - 2015,(low),125,NA,NA,0.316,0.307,NA,0.463,0.464,NA,0.316,0.463,NA,NA,d,colorimetric,-0.001,NA,-0.22,NA,,,0,0.463,-0.001,-0.001,d (low)
383,537,Spring - 2016,(low),129,NA,NA,0.256,0.267,NA,0.445,0.48,NA,0.256,0.445,NA,NA,d,colorimetric,-0.035,NA,-7.29,NA,,,0,0.445,-0.035,-0.035,d (low)
384,537,Spring - 2017,(low),133,NA,NA,0.091,0.09,NA,0.208,0.199,NA,0.091,0.208,NA,NA,d,colorimetric,0.009,NA,4.52,NA,,,0,0.208,0.009,0.009,d (low)
386,538,Fall - 2012,(high),116,0.636,0.428,0.455,0.445,colorimetric,0.888,0.889,0.636,0.455,0.888,1.091,0.203,d,colorimetric,-0.001,0.202,-0.11,22.72,,,0,0.888,-0.001,-0.001,d (high)
387,538,Fall - 2012,(low),115,0.459,0.264,0.244,0.228,colorimetric,0.466,0.463,0.459,0.244,0.466,0.703,0.237,d,colorimetric,0.003,0.24,0.65,51.84,,X,0,0.466,0.003,0.003,d (low)
392,538,Fall - 2018,(high),140,NA,NA,0.622,0.663,NA,1.218,1.14,NA,0.622,1.218,NA,NA,d,colorimetric,0.078,NA,6.84,NA,,,0,1.218,0.078,0.078,d (high)
401,538,Spring - 2017,(low),133,NA,NA,0.057,0.09,NA,0.199,0.199,NA,0.057,0.199,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.199,0,0,d (low)
402,538,Spring - 2018,(high),138,NA,NA,0.807,0.79,NA,1.244,1.27,NA,0.807,1.244,NA,NA,d,colorimetric,-0.026,NA,-2.05,NA,,,0,1.244,-0.026,-0.026,d (high)
405,562,Spring - 2018,(high),138,NA,NA,0.8,0.79,NA,1.34,1.27,NA,0.8,1.34,NA,NA,d,colorimetric,0.07,NA,5.51,NA,,,0,1.34,0.07,0.07,d (high)
406,562,Spring - 2018,(low),137,NA,NA,0.329,0.326,NA,0.467,0.45,NA,0.329,0.467,NA,NA,d,colorimetric,0.017,NA,3.78,NA,,,0,0.467,0.017,0.017,d (low)
407,564,Fall - 2018,(low),139,NA,NA,0.192,0.2,NA,0.287,0.307,NA,0.192,0.287,NA,NA,d,colorimetric,-0.02,NA,-6.51,NA,,,0,0.287,-0.02,-0.02,d (low)
408,565,Fall - 2016,(high),132,NA,NA,1.007,0.933,NA,1.206,1.24,NA,1.007,1.206,NA,NA,d,colorimetric,-0.034,NA,-2.74,NA,,,0,1.206,-0.034,-0.034,d (high)
412,565,Fall - 2018,(low),139,NA,NA,0.214,0.2,NA,0.299,0.307,NA,0.214,0.299,NA,NA,d,colorimetric,-0.008,NA,-2.61,NA,,,0,0.299,-0.008,-0.008,d (low)
414,565,Spring - 2016,(low),129,NA,NA,0.268,0.267,NA,0.52,0.48,NA,0.268,0.52,NA,NA,d,colorimetric,0.04,NA,8.33,NA,,,0,0.52,0.04,0.04,d (low)
416,565,Spring - 2017,(low),133,NA,NA,0.1773,0.09,NA,0.232,0.199,NA,0.1773,0.232,NA,NA,d,colorimetric,0.033,NA,16.58,NA,,,0,0.232,0.033,0.033,d (low)
418,565,Spring - 2018,(low),137,NA,NA,0.326,0.326,NA,0.461,0.45,NA,0.326,0.461,NA,NA,d,colorimetric,0.011,NA,2.44,NA,,,0,0.461,0.011,0.011,d (low)
419,573,Fall - 2015,(low),127,NA,NA,0.324,0.302,NA,0.4,0.437,NA,0.324,0.4,NA,NA,d,colorimetric,-0.037,NA,-8.47,NA,,,0,0.4,-0.037,-0.037,d (low)
421,591,Fall - 2018,(high),140,NA,NA,NA,NA,NA,1.115,1.14,NA,NA,1.115,NA,NA,d,colorimetric,-0.025,NA,-2.19,NA,,,0,1.115,-0.025,-0.025,d (high)
423,599,Fall - 2018,(low),139,NA,NA,NA,NA,NA,0.33,0.307,NA,NA,0.33,NA,NA,d,colorimetric,0.023,NA,7.49,NA,,,0,0.33,0.023,0.023,d (low)
424,1,Fall - 2012,(high),116,0.428,0.428,0.442,0.445,colorimetric,0.934,0.889,0.428,0.442,0.934,0.87,-0.064,c,colorimetric,0.045,-0.019,NA,-2.14,,,1,0.87,-0.019,-0.019,c (high)
425,1,Fall - 2012,(low),115,0.283,0.264,0.224,0.228,colorimetric,0.484,0.463,0.283,0.224,0.484,0.507,0.023,c,colorimetric,0.021,0.044,4.54,9.5,,,1,0.507,0.044,0.044,c (low)
426,1,Fall - 2013,(high),120,0.592,0.54,0.719,0.692,colorimetric,1.24,1.21,0.592,0.719,1.24,1.311,0.071,c,colorimetric,0.03,0.101,2.48,8.35,,,1,1.311,0.101,0.101,c (high)
427,1,Fall - 2013,(low),119,0.31,0.267,0.273,0.271,colorimetric,0.532,0.536,0.31,0.273,0.532,0.583,0.051,c,colorimetric,-0.004,0.047,-0.75,8.77,,,1,0.583,0.047,0.047,c (low)
428,1,Fall - 2014,(high),124,0.169,0.212,0.542,0.556,colorimetric,0.771,0.73,0.169,0.542,0.771,0.711,-0.06,c,colorimetric,0.041,-0.019,5.62,-2.6,,,1,0.711,-0.019,-0.019,c (high)
429,1,Fall - 2015,(high),128,0.604,0.518,2.88,3.04,colorimetric,3.55,3.53,0.604,2.88,3.55,3.484,-0.066,c,colorimetric,0.02,-0.046,0.57,-1.3,,,1,3.484,-0.046,-0.046,c (high)
431,1,Fall - 2016,(high),132,0.298,0.317,0.942,0.933,colorimetric,1.28,1.24,0.298,0.942,1.28,1.24,-0.04,c,colorimetric,0.04,0,3.23,0,,,1,1.24,0,0,c (high)
432,1,Fall - 2016,(low),131,0.094,0.14,0.38,0.362,colorimetric,0.483,0.491,0.094,0.38,0.483,0.474,-0.009,c,colorimetric,-0.008,-0.017,-1.63,-3.46,,,1,0.474,-0.017,-0.017,c (low)
433,1,Fall - 2017,(high),136,0.426,0.409,0.623,0.639,colorimetric,6.27,1.06,0.426,0.623,1.1,1.049,-0.051,c,colorimetric,0.04,-0.011,3.77,-1.04,,,1,1.049,-0.011,-0.011,c (high)
434,1,Fall - 2018,(high),140,0.486,0.486,0.642,0.663,colorimetric,1.13,1.14,0.486,0.642,1.13,1.128,-0.002,c,colorimetric,-0.01,-0.012,-0.88,-1.05,,,1,1.128,-0.012,-0.012,c (high)
435,1,Fall - 2018,(low),139,0.111,0.111,0.201,0.2,colorimetric,0.313,0.307,0.111,0.201,0.313,0.312,-0.001,c,colorimetric,0.006,0.005,1.95,1.63,,,1,0.312,0.005,0.005,c (low)
436,1,Spring - 2012,(high),114,1.09,1.03,1.08,1.13,colorimetric,2.26,2.15,1.09,1.08,2.26,2.17,-0.09,c,colorimetric,0.11,0.02,5.12,0.93,,,1,2.17,0.02,0.02,c (high)
437,1,Spring - 2012,(low),113,0.266,0.258,0.101,0.107,colorimetric,0.353,0.349,0.266,0.101,0.353,0.367,0.014,c,colorimetric,0.004,0.018,1.15,5.16,,,1,0.367,0.018,0.018,c (low)
438,1,Spring - 2013,(high),118,1.01,0.93,0.586,0.59,colorimetric,1.51,1.48,1.01,0.586,1.51,1.596,0.086,c,colorimetric,0.03,0.116,2.03,7.84,,,1,1.596,0.116,0.116,c (high)
440,1,Spring - 2014,(high),122,0.626,0.59,1.11,1.1,colorimetric,1.69,1.7,0.626,1.11,1.69,1.736,0.046,c,colorimetric,-0.01,0.036,-0.59,2.12,,,1,1.736,0.036,0.036,c (high)
441,1,Spring - 2014,(low),121,0.127,0.139,0.42,0.418,colorimetric,0.556,0.555,0.127,0.42,0.556,0.547,-0.009,c,colorimetric,0.001,-0.008,0.18,-1.44,,,1,0.547,-0.008,-0.008,c (low)
442,1,Spring - 2015,(high),126,0.407,0.392,1.44,1.48,colorimetric,1.89,1.86,0.407,1.44,1.89,1.847,-0.043,c,colorimetric,0.03,-0.013,1.61,-0.7,,,1,1.847,-0.013,-0.013,c (high)
443,1,Spring - 2015,(low),125,0.144,0.162,0.292,0.307,colorimetric,0.463,0.464,0.144,0.292,0.463,0.436,-0.027,c,colorimetric,-0.001,-0.028,-0.22,-6.03,,,1,0.436,-0.028,-0.028,c (low)
444,1,Spring - 2016,(high),130,0.557,0.547,1.81,1.81,colorimetric,2.47,2.32,0.557,1.81,2.47,2.367,-0.103,c,colorimetric,0.15,0.047,6.47,2.03,,,1,2.367,0.047,0.047,c (high)
445,1,Spring - 2016,(low),129,0.214,0.24,0.256,0.267,colorimetric,0.494,0.48,0.214,0.256,0.494,0.47,-0.024,c,colorimetric,0.014,-0.01,2.92,-2.08,,,1,0.47,-0.01,-0.01,c (low)
446,1,Spring - 2017,(high),134,0.191,0.196,0.782,0.801,colorimetric,0.97,0.98,0.191,0.782,0.97,0.973,0.003,c,colorimetric,-0.01,-0.007,-1.02,-0.71,,,1,0.973,-0.007,-0.007,c (high)
447,1,Spring - 2017,(low),133,0.131,0.134,0.096,0.09,colorimetric,0.215,0.199,0.131,0.096,0.215,0.227,0.012,c,colorimetric,0.016,0.028,8.04,14.07,,,1,0.227,0.028,0.028,c (low)
448,1,Spring - 2018,(high),138,0.499,0.495,0.808,0.79,colorimetric,1.25,1.27,0.499,0.808,1.25,1.307,0.057,c,colorimetric,-0.02,0.037,-1.57,2.91,,,1,1.307,0.037,0.037,c (high)
449,1,Spring - 2018,(low),137,0.15,0.143,0.326,0.326,colorimetric,0.433,0.45,0.15,0.326,0.433,0.476,0.043,c,colorimetric,-0.017,0.026,-3.78,5.78,,,1,0.476,0.026,0.026,c (low)
451,59,Fall - 2012,(low),115,0.19,0.264,0.23,0.228,colorimetric,0.46,0.463,0.19,0.23,0.46,0.42,-0.04,c,colorimetric,-0.003,-0.043,-0.65,-9.29,,,1,0.42,-0.043,-0.043,c (low)
452,59,Fall - 2013,(high),120,0.55,0.54,0.69,0.692,colorimetric,1.25,1.21,0.55,0.69,1.25,1.24,-0.01,c,colorimetric,0.04,0.03,3.31,2.48,,,1,1.24,0.03,0.03,c (high)
453,59,Fall - 2013,(low),119,0.26,0.267,0.28,0.271,colorimetric,0.54,0.536,0.26,0.28,0.54,0.54,0,c,colorimetric,0.004,0.004,0.75,0.75,,,1,0.54,0.004,0.004,c (low)
454,59,Fall - 2014,(high),124,0.15,0.212,0.54,0.556,colorimetric,0.75,0.73,0.15,0.54,0.75,0.69,-0.06,c,colorimetric,0.02,-0.04,2.74,-5.48,,,1,0.69,-0.04,-0.04,c (high)
455,59,Fall - 2014,(low),123,0.28,0.32,0.25,0.257,colorimetric,0.56,0.555,0.28,0.25,0.56,0.53,-0.03,c,colorimetric,0.005,-0.025,0.9,-4.5,,,1,0.53,-0.025,-0.025,c (low)
456,59,Fall - 2015,(high),128,0.51,0.518,3.11,3.04,colorimetric,3.57,3.53,0.51,3.11,3.57,3.62,0.05,c,colorimetric,0.04,0.09,1.13,2.55,,,1,3.62,0.09,0.09,c (high)
457,59,Fall - 2015,(low),127,0.13,0.139,0.31,0.302,colorimetric,0.43,0.437,0.13,0.31,0.43,0.44,0.01,c,colorimetric,-0.007,0.003,-1.6,0.69,,,1,0.44,0.003,0.003,c (low)
458,59,Fall - 2016,(high),132,0.27,0.317,0.935,0.933,colorimetric,1.25,1.24,0.27,0.935,1.25,1.205,-0.045,c,colorimetric,0.01,-0.035,0.81,-2.82,,,1,1.205,-0.035,-0.035,c (high)
459,59,Fall - 2018,(high),140,0.46,0.486,0.67,0.663,colorimetric,1.12,1.14,0.46,0.67,1.12,1.13,0.01,c,colorimetric,-0.02,-0.01,-1.75,-0.88,,,1,1.13,-0.01,-0.01,c (high)
460,59,Fall - 2018,(low),139,0.1,0.111,0.19,0.2,colorimetric,0.31,0.307,0.1,0.19,0.31,0.29,-0.02,c,colorimetric,0.003,-0.017,0.98,-5.54,,,1,0.29,-0.017,-0.017,c (low)
461,59,Spring - 2012,(high),114,1.05,1.03,1.117,1.13,colorimetric,2.26,2.15,1.05,1.117,2.26,2.167,-0.093,c,colorimetric,0.11,0.017,5.12,0.79,,,1,2.167,0.017,0.017,c (high)
462,59,Spring - 2012,(low),113,0.25,0.258,0.107,0.107,colorimetric,0.346,0.349,0.25,0.107,0.346,0.357,0.011,c,colorimetric,-0.003,0.008,-0.86,2.29,,,1,0.357,0.008,0.008,c (low)
463,59,Spring - 2013,(high),118,0.95,0.93,0.59,0.59,colorimetric,1.42,1.48,0.95,0.59,1.42,1.54,0.12,c,colorimetric,-0.06,0.06,-4.05,4.05,,,1,1.54,0.06,0.06,c (high)
464,59,Spring - 2013,(low),117,0.45,0.44,0.22,0.22,colorimetric,0.63,0.641,0.45,0.22,0.63,0.67,0.04,c,colorimetric,-0.011,0.029,-1.72,4.52,,,1,0.67,0.029,0.029,c (low)
465,59,Spring - 2014,(high),122,0.58,0.59,1.1,1.1,colorimetric,1.66,1.7,0.58,1.1,1.66,1.68,0.02,c,colorimetric,-0.04,-0.02,-2.35,-1.18,,,1,1.68,-0.02,-0.02,c (high)
466,59,Spring - 2014,(low),121,0.12,0.139,0.419,0.418,colorimetric,0.57,0.555,0.12,0.419,0.57,0.539,-0.031,c,colorimetric,0.015,-0.016,2.7,-2.88,,,1,0.539,-0.016,-0.016,c (low)
468,59,Spring - 2015,(low),125,0.13,0.162,0.306,0.307,colorimetric,0.483,0.464,0.13,0.306,0.483,0.436,-0.047,c,colorimetric,0.019,-0.028,4.09,-6.03,,,1,0.436,-0.028,-0.028,c (low)
469,59,Spring - 2016,(high),130,0.52,0.547,1.85,1.81,colorimetric,2.32,2.32,0.52,1.85,2.32,2.37,0.05,c,colorimetric,0,0.05,0,2.16,,,1,2.37,0.05,0.05,c (high)
470,59,Spring - 2016,(low),129,0.17,0.24,0.27,0.267,colorimetric,0.46,0.48,0.17,0.27,0.46,0.44,-0.02,c,colorimetric,-0.02,-0.04,-4.17,-8.33,,,1,0.44,-0.04,-0.04,c (low)
471,59,Spring - 2017,(high),134,0.22,0.196,0.8,0.801,colorimetric,0.94,0.98,0.22,0.8,0.94,1.02,0.08,c,colorimetric,-0.04,0.04,-4.08,4.08,,,1,1.02,0.04,0.04,c (high)
