,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
36,38,Fall - 2013,(high),120,NA,NA,0.669,0.692,NA,1.26,1.21,NA,0.669,1.26,NA,NA,d,colorimetric,0.05,NA,4.13,NA,,,0,1.26,0.05,0.05,d (high)
37,38,Fall - 2013,(low),119,NA,NA,0.262,0.271,NA,0.58,0.536,NA,0.262,0.58,NA,NA,d,colorimetric,0.044,NA,8.21,NA,,,0,0.58,0.044,0.044,d (low)
38,38,Fall - 2014,(high),124,NA,NA,0.554,0.556,NA,0.77,0.73,NA,0.554,0.77,NA,NA,d,colorimetric,0.04,NA,5.48,NA,,,0,0.77,0.04,0.04,d (high)
39,38,Fall - 2014,(low),123,NA,NA,0.25,0.257,NA,0.57,0.555,NA,0.25,0.57,NA,NA,d,colorimetric,0.015,NA,2.7,NA,,,0,0.57,0.015,0.015,d (low)
41,38,Fall - 2015,(low),127,NA,NA,0.311,0.302,NA,0.46,0.437,NA,0.311,0.46,NA,NA,d,colorimetric,0.023,NA,5.26,NA,,,0,0.46,0.023,0.023,d (low)
42,38,Fall - 2017,(high),136,NA,NA,0.647,0.639,NA,1.07,1.06,NA,0.647,1.07,NA,NA,d,colorimetric,0.01,NA,0.94,NA,,,0,1.07,0.01,0.01,d (high)
43,38,Fall - 2017,(low),135,NA,NA,0.447,0.436,NA,0.64,0.616,NA,0.447,0.64,NA,NA,d,colorimetric,0.024,NA,3.9,NA,,,0,0.64,0.024,0.024,d (low)
45,38,Fall - 2018,(low),139,NA,NA,0.192,0.2,NA,0.31,0.307,NA,0.192,0.31,NA,NA,d,colorimetric,0.003,NA,0.98,NA,,,0,0.31,0.003,0.003,d (low)
46,38,Spring - 2012,(high),114,NA,NA,1.121,1.13,NA,2.12,2.15,NA,1.121,2.12,NA,NA,d,colorimetric,-0.03,NA,-1.4,NA,,,0,2.12,-0.03,-0.03,d (high)
47,38,Spring - 2012,(low),113,NA,NA,0.105,0.107,NA,0.35,0.349,NA,0.105,0.35,NA,NA,d,colorimetric,0.001,NA,0.29,NA,,,0,0.35,0.001,0.001,d (low)
48,38,Spring - 2013,(high),118,NA,NA,0.594,0.59,NA,1.57,1.48,NA,0.594,1.57,NA,NA,d,colorimetric,0.09,NA,6.08,NA,,,0,1.57,0.09,0.09,d (high)
49,38,Spring - 2013,(low),117,NA,NA,0.216,0.22,NA,0.65,0.641,NA,0.216,0.65,NA,NA,d,colorimetric,0.009,NA,1.4,NA,,,0,0.65,0.009,0.009,d (low)
50,38,Spring - 2014,(high),122,NA,NA,1.027,1.1,NA,1.76,1.7,NA,1.027,1.76,NA,NA,d,colorimetric,0.06,NA,3.53,NA,,,0,1.76,0.06,0.06,d (high)
51,38,Spring - 2014,(low),121,NA,NA,0.403,0.418,NA,0.58,0.555,NA,0.403,0.58,NA,NA,d,colorimetric,0.025,NA,4.5,NA,,,0,0.58,0.025,0.025,d (low)
52,38,Spring - 2015,(high),126,NA,NA,1.503,1.48,NA,1.95,1.86,NA,1.503,1.95,NA,NA,d,colorimetric,0.09,NA,4.84,NA,,,0,1.95,0.09,0.09,d (high)
53,38,Spring - 2015,(low),125,NA,NA,0.305,0.307,NA,0.51,0.464,NA,0.305,0.51,NA,NA,d,colorimetric,0.046,NA,9.91,NA,,,0,0.51,0.046,0.046,d (low)
55,38,Spring - 2016,(low),129,NA,NA,0.279,0.267,NA,0.46,0.48,NA,0.279,0.46,NA,NA,d,colorimetric,-0.02,NA,-4.17,NA,,,0,0.46,-0.02,-0.02,d (low)
56,38,Spring - 2018,(high),138,NA,NA,0.784,0.79,NA,1.34,1.27,NA,0.784,1.34,NA,NA,d,colorimetric,0.07,NA,5.51,NA,,,0,1.34,0.07,0.07,d (high)
57,38,Spring - 2018,(low),137,NA,NA,0.324,0.326,NA,0.46,0.45,NA,0.324,0.46,NA,NA,d,colorimetric,0.01,NA,2.22,NA,,,0,0.46,0.01,0.01,d (low)
58,59,Fall - 2012,(high),116,0.35,0.428,0.45,0.445,colorimetric,0.87,0.889,0.35,0.45,0.87,0.8,-0.07,d,colorimetric,-0.019,-0.089,-2.14,-10.01,,,0,0.87,-0.019,-0.019,d (high)
