lagoslakeid,programname,sampledepth_lagos,date,tn_d,no2no3,tkn,tn_censorcode,no2no3_censorcode,tkn_censorcode,tn_c
2151,MN_MPCA,1,1991-09-19,0.371,0.05,300,NC3,NC3,NC3,0.35
2154,MN_MPCA,2,1998-06-29,1.43,0.005,1670,NC4,LE4,NC4,1.675
2165,MN_MPCA,0,1975-05-11,1.02,0.421,483,NC3,NC3,NC3,0.904
2270,MN_MPCA,0,1949-05-21,0.53,0.1,450,NC3,NC3,NC3,0.55
2270,MN_MPCA,10.06,1949-06-13,0.69,0.08,590,NC3,NC3,NC3,0.67
2270,MN_MPCA,0,1959-08-13,1.4,0.4,960,NC3,NC3,NC3,1.36
2337,MN_MPCA,1,1991-09-26,0.273,0.01,280,NC3,NC3,NC3,0.29
2397,MN_MPCA,1,1991-09-27,0.313,0.01,260,NC3,LE3,NC3,0.27
2471,WI_LDF,1,2010-09-01,0.4,0.01,400,NC4,LE1,NC2,0.41
2471,WI_LDF,1,2011-08-29,0.3,0.05,300,NC4,LE1,NC2,0.35
2532,MN_MPCA,9.75,1971-03-04,1.35,0.09,1250,NC3,NC3,NC3,1.34
2532,MN_MPCA,1.22,1972-02-10,0.68,0.01,650,NC3,NC3,NC3,0.66
2532,MN_MPCA,19.81,1972-02-10,1.13,0.01,1100,NC3,NC3,NC3,1.11
2545,MN_MPCA,1.22,1971-03-30,2.41,0.38,1980,NC3,NC3,NC3,2.36
2545,MN_MPCA,3.66,1971-03-30,2.39,0.18,2200,NC3,NC3,NC3,2.38
2545,MN_MPCA,10.36,1971-03-30,8.38,2.17,6200,NC3,NC3,NC3,8.37
2686,MN_MPCA,0,1969-09-30,2.41,14,2300,NC3,NC3,NC3,16.3
2746,WI_LTER,1,1996-02-08,1.098,0.113,800,NC2,NC4,NC3,0.913
2746,WI_LTER,0,1996-05-02,0.834,0.142,600,NC2,NC4,NC3,0.742
2746,WI_LTER,0,1996-05-15,0.762,0.102,600,NC2,NC4,NC3,0.702
2746,WI_LTER,0,1996-05-27,0.716,0.053,600,NC2,NC4,NC3,0.653
2746,WI_LTER,0,1996-06-10,0.792,0.01,710,NC2,NC4,NC3,0.72
2746,WI_LTER,0,1996-06-24,0.681,0.004,600,NC2,NC4,NC3,0.604
2746,WI_LTER,0,1996-07-24,0.722,0,800,NC2,LE3,NC3,0.8
2746,WI_LTER,0,1996-08-21,0.634,0,600,NC2,NC4,NC4,0.6
2746,WI_LTER,0,1997-04-10,0.793,0.029,700,NC2,NC4,NC4,0.729
2746,WI_LTER,0,1997-04-30,0.571,0.013,600,NC2,NC3,NC3,0.613
2746,WI_LTER,0,1997-05-27,0.646,0.017,600,NC2,NC4,NC3,0.617
2746,WI_LTER,0,1997-06-10,0.602,0,700,NC2,LE3,NC3,0.7
2746,WI_LTER,0,1997-07-08,0.571,0,600,NC2,LE3,NC4,0.6
2746,WI_LTER,0,1997-07-22,0.583,0.011,540,NC2,NC4,NC4,0.551
2746,WI_LTER,0,1997-10-28,0.774,0,700,NC2,LE3,NC3,0.7
2746,WI_LTER,0,1997-11-20,0.705,0.019,800,NC2,NC4,NC3,0.819
